	nonstereo_aromatic_smiles
80	c1ccc(cc1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O
81	CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
82	CCCBr
83	CCCCS
84	CC(C)C(C)C(C)C
85	C1CCCC1
86	Cc1ccc(cc1)O
87	CC(C)[N+](=O)[O-]
88	CCC(=C(CC)c1ccc(cc1)O)c2ccc(cc2)O
89	CCCCCCCBr
90	CC1(C(=O)N(C(=O)O1)c2cc(cc(c2)Cl)Cl)C=C
91	c1cc(c(c(c1c2c(cc(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl
92	CCCC(C)C
93	c1[nH]c2c(=O)[nH]cnc2n1
94	CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O
95	c1cc(c(c(c1)Cl)Cl)c2cccc(c2Cl)Cl
96	C(CCl)C#N
97	Cc1cc(cc(c1)O)C
98	c1[nH]nc(n1)N
99	c1cc(ccc1[N+](=O)[O-])O
100	CCOP(=S)(OCC)SCn1c2ccc(cc2oc1=O)Cl
101	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl
102	Cc1ccc(cc1C)O
103	Cc1ccc(cc1Cl)NC(=O)N(C)C
104	c1ccc(c(c1)C(c2ccc(cc2)Cl)(c3cncnc3)O)Cl
105	c1ccc2c(c1)C(=O)c3ccccc3C2=O
106	c1cnc2c(n1)c(c(c(c2Cl)Cl)Cl)Cl
107	c1ccc2c(c1)C(=O)OC2(c3ccc(cc3)O)c4ccc(cc4)O
108	CCN(CC)C(=S)SCC(=C)Cl
109	CCC1(C(=O)NC(=O)NC1=O)CC
110	CCOC=O
111	COP(=S)(OC)Oc1cc(c(cc1Cl)Br)Cl
112	COP(=S)(OC)Oc1cc(c(cc1Cl)Cl)Cl
113	c1ccc(cc1)C(C(c2ccccc2)O)O
114	CC(C)CC(C)(C)O
115	CCOP(=S)(OCC)SCSCC
116	CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C
117	c1cc2c(cccn2)c(c1)O
118	CC12CCC3c4ccc(cc4CCC3C1CCC2(C#C)O)O
119	c1ccc2cc-3c(cc2c1)-c4cccc5c4c3ccc5
120	CCCCCCCCCCCC(=O)OC
121	CC(C)OC(C)C
122	CC(C)Oc1cc(c(cc1Cl)Cl)n2c(=O)oc(n2)C(C)(C)C
123	Cc1ccc(cc1)N
124	CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C
125	c1cc(c(cc1[N+](=O)[O-])Cl)Cl
126	C1C(=O)NC(=S)S1
127	CC
128	C1CCC=CCC1
129	CCCCC(C)(CC)O
130	COc1ccc(cc1)CC=C
131	CC=C(c1ccc(cc1)O)C(=CC)c2ccc(cc2)O
132	c1cc(c(c(c1)Cl)Cl)c2c(c(cc(c2Cl)Cl)Cl)Cl
133	CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)O
134	CCCCCCCCCCCCCCO
135	CCC1(C(=O)NCNC1=O)c2ccccc2
136	Cc1cccc2c1cccc2
137	CCC(C)C1(C(=O)NC(=O)NC1=O)CC
138	CCc1ccccc1C
139	c1ccc2c(c1)C(=O)N(C2=O)C3CCC(=O)NC3=O
140	CC(C)N(c1ccc(cc1)Cl)C(=O)CSP(=S)(OC)OC
141	C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
142	CCCCCCCCCC(=O)OCC
143	c1ccc2c(c1)cccc2Cl
144	CCOCCOCC
145	C
146	C[N+](=O)[O-]
147	c1ccc2c(c1)C(=O)C(=C(C2=O)O)C3CCC(CC3)c4ccc(cc4)Cl
148	CCOP(=S)(OCC)Oc1nc(n(n1)C(C)C)Cl
149	CCCC(C)C1(C(=O)NC(=S)NC1=O)CC
150	CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl
151	CCC1(C(=O)NC(=O)NC1=O)CC=C
152	CC(=CC(=O)NC)OP(=O)(OC)OC
153	CC(C)(C)c1c(=O)n(c(nn1)SC)N
154	CC1CC2C(CC3(C(O2)CC4C3(CCC5C4C=C6CC(CCC6(C5)C)O)C)C)OC1
155	CCN(CC)C(=O)C(C)Oc1cccc2c1cccc2
156	CCC1(C(=O)NC(=O)NC1=O)C(C)C
157	CC(C)Nc1nc(nc(n1)Cl)NC(C)C
158	CC(=O)Nc1ccc(cc1)[N+](=O)[O-]
159	C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
160	C1CCCCCC1
161	CCOP(=S)(OCC)ON=C(C#N)c1ccccc1
162	Cn1c(=O)n(oc1=O)c2ccc(c(c2)Cl)Cl
163	CC(C)COC=O
164	Cc1c[nH]c(=O)[nH]c1=O
165	CCc1ccc2ccccc2c1
166	c1ccc(cc1)c2c(cccc2Cl)Cl
167	c1ccc(cc1)O
168	C1CCC2CCCCC2C1
169	Cc1cc(=O)n(n1C)c2ccccc2
170	CC12CCC3c4ccc(cc4CC=C3C1CCC2=O)O
171	CCCCl
172	CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3
173	C1=CC2C(C=C1)C(=O)NC2=O
174	c1c(cc(c(c1Br)O)Br)C#N
175	CCOC(=O)C=Cc1ccccc1
176	CCCCC1(C(=O)NC(=O)NC1=O)CC
177	C(CBr)Cl
178	CC(C)CCl
179	Cc1cc(c(cc1C)C)C
180	CCOP(=S)(N1C(=O)c2ccccc2C1=O)OCC
181	COC(=O)Nc1[nH]c2cc(ccc2n1)C(=O)c3ccccc3
182	CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl
183	c1cc2cccnc2c(c1)O
184	CN(C)C(=O)Nc1ccccc1
185	CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
186	c1cnc(cn1)C(=O)N
187	c1ccc(cc1)CNC(=O)N
188	CCC
189	COC(=O)c1ccc(cc1)O
190	CCOC(=O)c1ccc(cc1)O
191	c1cc(ccc1N)S(=O)(=O)NC(=N)N
192	CCOP(=S)(OCC)Oc1ccc2c(c1)c(c(c(=O)o2)Cl)C
193	c1cc(ccc1N)O
194	C=CCCCO
195	CC1(Cc2cccc(c2O1)OC(=O)NC)C
196	Cc1cc(c2ccccc2c1)C
197	CCCCCCC(=O)OCN1C(=O)C(NC1=O)(c2ccccc2)c3ccccc3
198	CCSCC
199	CC(C)CC(C)O
200	CCCC1CCCC1
201	CCCC1C(=O)N2c3cc(ccc3N=C(N2C1=O)N(C)C)C
202	CCCCCCCC=C
203	c1cc(c(c(c1O)Cl)Cl)Cl
204	CC(Cl)(Cl)Cl
205	Cc1c(noc1N(C(=O)C)S(=O)c2ccc(cc2)N)C
206	CCc1ccc(cc1)CC
207	c1ccc(c(c1)[N+](=O)[O-])O
208	CCCCCCCCCC(=O)OC
209	c1ccc2c(c1)cccc2O
210	CCC1(C(=O)NC(=O)NC1=O)CC=C(C)C
211	c1cc(ccc1c2ccc(cc2)Cl)Cl
212	c1cc(c(c(c1)Cl)Cl)c2cc(c(cc2Cl)Cl)Cl
213	c1ccc(cc1)CC2Nc3cc(c(cc3S(=O)(=O)N2)S(=O)(=O)N)C(F)(F)F
214	Cc1ccc(cc1)Br
215	CCOP(=S)(CC)Oc1cc(c(cc1Cl)Cl)Cl
216	Cc1ccccc1[N+](=O)[O-]
217	CCN(CC(=C)C)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
218	c1ccc2c(c1)nco2
219	CCC(C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
220	CCCO
221	CCBr
222	c1cnccc1C(=O)NN
223	C(=C(Cl)Cl)(Cl)Cl
224	c1[nH]c2c(ncnc2n1)N
225	CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34O
226	c1cc2cc(ccc2nc1)O
227	CCC(=C)C
228	CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C
229	CCOC(=O)N
230	CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-]
231	CC1CCC(CC1)C
232	C1(=O)C(C(=O)NC(=O)N1)(C2(C(=O)NC(=O)NC2=O)O)O
233	c1ccc(cc1)OCCO
234	CCCCC(CC)CO
235	c1c(c(c(c(c1Cl)Cl)O)Cl)Cl
236	Cn1ccc(=O)[nH]c1=O
237	CC(C)(COC(=O)N1CCN(CC1)c2nc3c(cc(c(c3OC)OC)OC)c(n2)N)O
238	c1ccc2cc(ccc2c1)Cl
239	CC(C)(C)c1ccccc1
240	CCC(C)CC
241	CCCC(=O)CC
242	C(=C(Cl)Cl)Cl
243	c1ccc(cc1)CCc2ccccc2
244	CCC(C)(C)O
245	CCNC(=O)C(C)OC(=O)Nc1ccccc1
246	c1ccc(c(c1)O)Cl
247	C=CCSS(=O)CC=C
248	CCCCCCBr
249	CCCCC=CC
250	CCCCCC(=O)OCN1C(=O)C(NC1=O)(c2ccccc2)c3ccccc3
251	C(CCl)Cl
252	COc1cccc(c1)Cl
253	c1ccc2c(c1)cccc2Br
254	CCCCCC(CC)O
255	CC(C)C(=O)C(C)C
256	c1ccc2c(c1)C(=O)NC2=O
257	c1ccc(cc1)C=O
258	Cc1cc2c3ccccc3ccc2c4c1cccc4
259	CCCCCC(=O)C
260	CC(C)(C)c1nnc(s1)N2C(CN(C2=O)C)O
261	CCOC(=O)CC(=O)OCC
262	C(Cl)(Br)Br
263	CCC(CC)O
264	CC(C)CCC(C)(C)C
265	Cc1ccc(cc1)OP(=O)(Oc2cccc(c2)C)Oc3ccccc3C
266	CC(C)(C)OC
267	c1ccc(cc1)I
268	c1ccc(c(c1)C(=O)OCC(CO)O)Nc2ccnc3c2ccc(c3)Cl
269	COC1=C(C2C(COC2=O)C=C1)OC
270	CCCCOC
271	CC(C)CCOC=O
272	CCCC=C
273	c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
274	CC1=CCC(CC1)C(=C)C
275	COc1ccccc1[N+](=O)[O-]
276	CNC(=O)Oc1cccc2c1cccc2
277	CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(cc(n2)Cl)OC
278	CCOC(=O)c1ccccc1C(=O)OCC
279	CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3
280	c1cc(cc(c1)Cl)Cl
281	CCNc1nc(nc(n1)OC)NC(C)(C)C
282	COc1ccccc1
283	C1(=O)C(=O)NC(=O)N1
284	COC(=O)c1cccnc1
285	CC12CCC3c4ccc(cc4CCC3C1CCC2=O)O
286	c1ccc-2c(c1)-c3cccc4c3c2ccc4
287	Cc1cc(ccc1SC)OP(=S)(OC)OC
288	C(Cl)Cl
289	C1CCCC(CC1)O
290	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)O
291	CC(C)SC(C)C
292	CNC(=O)Oc1cccc(c1)N=CN(C)C
293	C1C(=O)NC(=O)N1
294	C(=C(Cl)Cl)(C(=C(Cl)Cl)Cl)Cl
295	c1ccc(cc1)C(C(=O)c2ccccc2)O
296	c1ccc2c(c1)c3cccc4c3c5c2cccc5cc4
297	C(=S)(N)N
298	CCSCc1ccccc1OC(=O)NC
299	CCCCBr
300	CCCOCC
301	CCc1cccc2c1cccc2
302	CC(=O)Nc1ccc(cc1)O
303	c1cc(c(cc1Cl)Cc2cc(ccc2O)Cl)O
304	CC(C)Nc1nc(nc(n1)SC)NC(C)C
305	C(#N)C(Cl)(Cl)Cl
306	CC(=CC1C(C1(C)C)C(=O)OCc2cccc(c2)Oc3ccccc3)C
307	CCC(CC)CO
308	CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC
309	CCOP(=O)(OCC)OCC
310	CCCCC=C
311	CCc1ccccn1
312	c1ccc(cc1)c2ccccc2Cl
313	CC(=CCCC(C)(C=C)O)C
314	C(C(CO)O)O
315	CCC=O
316	Cc1cc(c(c(c1)C)O)C
317	CCCCCCCCCO
318	c1cc(c(cc1Cl)Cl)c2c(ccc(c2Cl)Cl)Cl
319	c1ccc2c(c1)cc3ccc4cccc5c4c3c2cc5
320	CCCCCCCCC(=O)OCC
321	CCCOC
322	Cc1cccc(c1)NC(=O)Oc2cccc(c2)NC(=O)OC
323	CC(C)C(C(C)C)O
324	C(C(Cl)Cl)(Cl)Cl
325	CC(=CCCC(=CCO)C)C
326	Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C
327	CC=CC=O
328	CCCC(=C)C
329	C1CCC(=O)CC1
330	Cc1ncc2c(n1)nccn2
331	CC(=O)OCC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
332	CNN
333	CC(C)CC(C)(C)C
334	CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O
335	c1ccc(cc1)n2c(=O)c(c(cn2)N)Br
336	Cc1c2ccccc2cc3c1cccc3
337	CCCC(CCC)O
338	COc1ccc(cc1)Cl
339	CC(C)OC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC
340	Cc1cc2c(cc1C)n(c-3nc(=O)[nH]c(=O)c3n2)CC(C(C(CO)O)O)O
341	CCCCOCCCC
342	CCCCOC(=O)c1ccc(cc1)N
343	c1ccc(cc1)F
344	CC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
345	CCCCc1c(nc(nc1O)N(C)C)C
346	c1c(c(c(c(c1Cl)Cl)c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl
347	CCCCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CO
348	CCCCC=O
349	Cc1cccc(c1)[N+](=O)[O-]
350	c1cc(ccc1Br)Br
351	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl
352	Cc1ccc(cc1)Cl
353	c1[nH]c2c(n1)c(=O)[nH]c(n2)N
354	CCCCCCl
355	C(=O)(N)N
356	CCNc1nc(nc(n1)Cl)NC(C)C
357	CCNc1ccccc1
358	c1ccc2c(c1)[nH]nn2
359	CC(=C)C(=C)C
360	CCN1c2c(cccn2)C(=O)Nc3c1nc(cc3C(F)(F)F)C
361	c12c([nH]c(=O)[nH]1)[nH]c(=O)[nH]c2=O
362	c1ccc(cc1)CNC(=O)Cn2ccnc2[N+](=O)[O-]
363	CCCCCCCCl
364	c1ccc(cc1)C(c2ccccc2)O
365	C1(=O)C(=O)NC(=O)NC1=O
366	CCCCCCC(=O)C
367	CCCOCCC
368	CCCCN(CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
369	Cc1ccnc2c1NC(=O)c3cccnc3N2C4CC4
370	CCCOC(C)C
371	c1ccc(c(c1)Cl)Br
372	CC(C)Nc1nc(nc(n1)OC)NC(C)C
373	C1CCOC1
374	CN(C)C(=O)Nc1ccc(cc1)Oc2ccc(cc2)OC
375	CCN(CC)c1ccccc1
376	COc1ccccc1O
377	c1ccc(cc1)c2ccc(cc2)O
378	CCCCCC(C)(C)O
379	C1CC=CC1
380	CCCC=O
381	Cc1ccc2ccccc2c1
382	CCCCCCCCCCCCCCCO
383	CCCCCCC(C)O
384	CC[N+](=O)[O-]
385	Cc1cccc(c1)N
386	C(C(C1C(C2C(O1)OC(O2)C(Cl)(Cl)Cl)O)O)O
387	CN(C)C(=O)C(c1ccccc1)c2ccccc2
388	C1C=CC2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
389	C(#N)c1c(c(c(c(c1Cl)Cl)Cl)C#N)Cl
390	c1ccc(cc1)C(=O)N
391	CCCCCCCCC(=O)C
392	CC(C)COC(=O)C
393	COc1c(c(c(c(c1Cl)Cl)Cl)Cl)O
394	CC(C)C1(C(=O)NC(=O)NC1=O)C(C)C
395	CCC=C
396	CC1(C2CCC(O1)(CC2)C)C
397	c1c([n+](c(nc1N2CCCCC2)N)[O-])N
398	c1ccc2c(c1)ccc3c2ccc4c3cccc4
399	CC12CCC3c4ccc(cc4CCC3C1CCC2O)O
400	CCCCCCCCO
401	C=CC#N
402	CCNc1nc(nc(n1)Cl)N(CC)CC
403	c1cc(ccc1c2cc(ccc2Cl)Cl)Cl
404	C1CCC=CC1
405	CC1CCCC1
406	CCCCC(=O)OCN1C(=O)C(NC1=O)(c2ccccc2)c3ccccc3
407	CC(=O)Nc1ccccc1
408	CCNc1nc(nc(n1)Cl)NC(C)(C)C#N
409	c1ccc(cc1)Cc2ccccc2
410	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-]
411	CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C
412	CN(C)c1ccccc1
413	CCCCCBr
414	CCOC(=O)c1ccc(cc1)N
415	CCCCCCCCC(=O)OC
416	Cn1cnc2c1c(=O)n(c(=O)n2C)C
417	CCCCCCC#C
418	Cc1ccncc1C
419	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O
420	CC1CCCO1
421	CCN1c2c(cccn2)C(=O)Nc3c1nc(cc3C)C
422	CCCCC(C)O
423	c1ccc(c(c1)Cl)Cl
424	CC(C(C)(C)C)O
425	COP(=O)(OC)OC(C(Cl)(Cl)Br)Br
426	c1ccc2c(c1)cccc2I
427	CN(C)c1nc(nc(n1)N(C)C)N(C)C
428	c1ccc(c(c1)N)O
429	Cc1ccccc1Cl
430	CC1=C(S(=O)(=O)CCO1)C(=O)Nc2ccccc2
431	CCNc1nc(nc(n1)SC)NC(C)C
432	CCCCOC=O
433	Cc1ccc2cc3ccccc3cc2c1
434	c1c2c(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)NC=N2
435	CC(=CCCC(=CC=O)C)C
436	c1c(c(=O)[nH]c(=O)[nH]1)F
437	COc1ccccc1OCC(COC(=O)N)O
438	CC1(C(C1C(=O)OC(C#N)c2cccc(c2)Oc3ccccc3)C=C(Cl)Cl)C
439	c1cc2c(cc1Cl)[nH]c(=O)o2
440	CNC(=O)Oc1ccccc1
441	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)O
442	CCCCCCCO
443	c1c(cc(c(c1I)O)I)C#N
444	CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F
445	CCCC(C)C1(C(=O)NC(=S)NC1=O)CC=C
446	CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
447	CNc1cnn(c(=O)c1Cl)c2cccc(c2)C(F)(F)F
448	c1ccc(c(c1)Cl)I
449	c1c2c([nH]n1)nc[nH]c2=O
450	CCC(C)n1c(=O)c(c([nH]c1=O)C)Br
451	Cc1c[nH]c(=O)nc1N
452	CCCCC(CC)O
453	Cc1cccc2c1n3cnnc3s2
454	CCC1(C(=O)NC(=O)NC1=O)c2ccccc2
455	CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3
456	c1cc(ccc1C(=C(Cl)Cl)c2ccc(cc2)Cl)Cl
457	CC(c1ccccc1)O
458	c1c[nH]c(=O)[nH]c1=O
459	CCNC(=S)NCC
460	CCCCC(=O)CCCC
461	CC(C)Oc1ccccc1OC(=O)NC
462	CC(C)CC(=O)C
463	Cc1cc(ccc1[N+](=O)[O-])OP(=S)(OC)OC
464	CCC1(C(=O)NC(=O)NC1=O)C
465	c1c(c(c(c(c1Cl)Cl)Cl)Cl)O
466	CCC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
467	c1c(c(cc(c1Br)Br)Br)Br
468	CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C
469	Cc1cc2ccccc2c3c1c4ccccc4cc3
470	CC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C)C#C
471	Cc1cc(no1)C(=O)NNCc2ccccc2
472	CCCC(=O)OCN1C(=O)C(NC1=O)(c2ccccc2)c3ccccc3
473	C1CCC2(CC1)C(=O)NC(=O)NC2=O
474	CCOP(=S)(OCC)SCSc1ccc(cc1)Cl
475	CC1Cc2ccccc2N1NC(=O)c3ccc(c(c3)S(=O)(=O)N)Cl
476	c1ccc2c(c1)c3ccccc3s2
477	CSc1ccccc1
478	CCOP(=S)(OCC)SCCSCC
479	Cc1c2c(nccn2)ncn1
480	CC(C)OC(=O)C
481	CCC(C)CCO
482	COP(=O)(OC)OC(=CCl)c1cc(c(cc1Cl)Cl)Cl
483	CN(C)C(=O)Nc1ccc(c(c1)Cl)Cl
484	CCOc1ccc2c(c1)sc(n2)S(=O)(=O)N
485	COC(=O)c1cc(c(c(c1)O)O)O
486	CCCCCCCC#C
487	Cc1ccc(c(c1)O)C(C)C
488	CCC=CC
489	C1CCC(CC1)O
490	Cc1ccccc1C
491	Cc1cccc(c1O)C
492	c1ccc(c(c1)Br)Br
493	CBr
494	CC(C)(C)c1nn(c(=O)o1)c2ccc(cc2Cl)NC(=O)N(C)C
495	Cc1cc(ccc1N=CN(C)C)Cl
496	CCc1ccc(cc1)C
497	C(C(F)(F)F)(Cl)Br
498	CC1=CC(=O)c2ccccc2C1=O
499	C(C(F)(F)Cl)(F)(F)Cl
500	c1ccc(cc1)C#N
501	c1cc(c(c(c1Cl)Cl)Cl)Cl
502	C(C(Cl)(Cl)Cl)(Cl)Cl
503	CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C
504	Cc1cccc(c1)O
505	CCCC(=O)OC
506	CCCCN(C)C(=O)Nc1ccc(c(c1)Cl)Cl
507	c1ccc(c(c1)CO)OC2C(C(C(C(O2)CO)O)O)O
508	CC(C)N(C(C)C)C(=O)SCC(=C(Cl)Cl)Cl
509	c1cc(ccc1C=O)O
510	Cc1cc(=O)[nH]c(=S)[nH]1
511	CSC
512	c1cc(c(c(c1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl)Cl
513	CN1c2ccc(cc2C(=NCC1=O)c3ccccc3)Cl
514	CCN(C1CCCCC1)C(=O)SCC
515	CCN(CC)C(=S)SSC(=S)N(CC)CC
516	c1ccc2c(c1)cn[nH]2
517	c1cc(c(c(c1)F)C(=O)NC(=O)Nc2ccc(cc2)Cl)F
518	C1C=CCC=C1
519	CCCC(C=C)O
520	CCCCC(CC)C=O
521	c1cc(cc(c1)Cl)O
522	c1ccc2c(c1)cc-3c4c2cccc4-c5c3cccc5
523	c1ccc(cc1)[N+](=O)[O-]
524	CC=Cc1ccc(cc1)OC
525	Cc1ccccc1N
526	CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C
527	CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C)O)C
528	COP(=O)(C(C(Cl)(Cl)Cl)O)OC
529	CCC(=O)C
530	c1ccc(cc1)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl
531	c1cc(c(cc1Cl)c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl
532	Cc1cccc(n1)C
533	CCCCc1ccccc1
534	c1ccc(cc1)NC(=O)Nc2ccccc2
